,tweet,hs_label,label
9333,مس على كيفهم ، سنو8 وعشر طول المباراة ، عطونا مباراة كرة قدم ، ولا عرس حريم عشان نلعب 8 وعشر بالليل ، يقولون لازم اللاعب يسهر ما يسهر ، وهم يسهرونه الليل يلعب بلوت ، وباقي دول العالم تلعب. وحده الظهر ، وحدة وثنتين ، وثلاث العصر واربع من الظهر للصبح ، لا واحنا يسهرونا لانصاف الليالي في الملاعب😡,,3.0
676, زيي كده 😅😂👊🏼؟!!,NOT_HS,0.0
10127, دام بعضهم وكذا وعاجبينك .. فالله يعين اللي تاخذ امثالك👎🏼وربي لا يبلانا,NOT_HS,0.0
3016, ماله عليك يا قلبي؟! 😠😠,NOT_HS,0.0
5639,لن لو يهبط ملاك الله من سماء رب الكون على ال سعود ليصححوا من مواقفهم وسياساتهم الهوجاءفلا وحي ينزل بعد وحي سيدنا محمد عليه السلاملن تغير امة من اثر جبروتها وكبريايها على اشقايها وجيرانهاحجر اساس بناء وقيام مملكة ال ا سعود هو صك المحكمة بيع فلسطيين لليهودتدفع ملاليم لفلسطين ومليارات لامريكا وايران والصهيونية👎 hopeless case,,2.0
1747, مفروض يفتح لهم زبالته يكشتون فيها ، ناس متعودة ع المزبلهه 😡,NOT_HS,0.0
12264,#بايع_الكليجا. وش تحسون يامريضات اول مره تشوفون رجال تسذا  ؟ عييييببب والله عيب 🙂👎 ,NOT_HS,0.0
6417,هههههههههه الله يقلعهم بس يبون الناس يموتون وانا بالمتوسط اغلبه حشر وشر ودعاه وقصص موت ودمار وقصص فيها عذاب في قبر وقصت الحرمه ماقدرو يكفنونها فيه لانها تلبس مزلط لا وقصير بالعروس بعد ، 👊👊👊👊,,2.0
11125,الله يرحم مين اللي ضحى 2016 نفسه بالمنافسة في اسيا و عشان الدوري المحروم منه 32 سنه هالطحالب مشكله صدق والله كل ماياخذ شوي نادي لازم يعطونه تذكره انه صغير 🐸😂😂💔  الهلال الملكي  الاهلي,,3.0
11574, تفشلت وانا مالي دخل 😷,NOT_HS,0.0
11488,الله مساكين الفقراويه هذي متى تحضر المباراة شكل اللي سلمهم الكاس ابوجعفر ومحمد المنصور ذاك قبل قرن ونصف 😂عايشين على التاريخ الماضي صدق فريق فقررر😷,,3.0
3232,  بعض اللي يكتبون الخاص ممنوع كأنهم يقولون حياك الخاص تحت امرك بس ذا نوع من لفت الانتباه 😂😂😂👊 ,NOT_HS,0.0
8502,نعم يحكمها عصبات وبقر هم اسواء  •  الحوثي  ايران  خرا عليهم وعلى حسن اخلاقهم القذره يستاهلو اللي قطر حصلهم,,3.0
3691, انا جيمر جرل ترا 😡😡😡,NOT_HS,0.0
3005,  ♨️حملة مليون متابع🔥✔كل الي في التويتر تعالوا هنا وضيفوا بعض✳✔ضيفني اضيفك✳  😡 إن حدفتني سافعل✔رتويت✳ تغريدة✔إضافة…,NOT_HS,0.0
1822, بايع  بسوق الكليجااص بسعشانا ما قلنا مزيون خليتونا كفار قريشوبعضكم يستشرف وهو حتى الكباير ختمها مع اولاد القحاب فالمراقص وينيكهم ويقول لاااااا حرام هذولا مب محتاااجات وحنا بس قلنا لهم راينا 😡 الزبده كل زق وخل نكحل يالاشهب 😒 😷ابي كليجا اليوم شكلي بروح بناااااااات متى تسكر الجنادريه بس ؟ 👀 ؟ ؟ ؟ 😂 ؟ 😍,,2.0
11436,انتو بالذات اخر ناس تتكلمو عن العنف المدرسي! اصلا ما نعرف نحمي اطفالنا من ضرب المعلمين! يا فاشلين لو تعرفو تشتغلو زين ما كان ما لغيتو قانون يمنع منع ابناء المعلم من ضرب باقي التلاميذ! هزلت وكل المدرسات مبسوطات لانه م يقدرون يطلعو حرتهم ف تعليم الاطفال بس لكن الادعاء العام دايما موجود وما نحتاج لكم!!!! 👎🏼👎🏼👎🏼👎🏼👎🏼,,4.0
4641,افعل ما اريد انا، و ليس ما تريده انت.. تذكر انها حياتي انا و ليس انت 🐒,NOT_HS,0.0
14081,والله م قهرني الا كل هالمتخلفات البنات اللي طالعين يصورونهعيب ياخي عيب ي ختي عييب 🔪واضح الرجال متضايق ومنزعج ومو معطيهن حتى وجه وهذول وراءه يطلعون من ومن مكان الى مكانجد جد مبزره🔪💔 بايع  بايع  الكليجا,,5.0
8142,اجل لو تشوفوني وش بتسوون خلني ساكته بس 🙉 #بايع_الكليجا,NOT_HS,0.0
4837,لا عاد تتكلم عن الدورى معروفين الطحالب حدهم كل مرة 32 سنة دورى بطولة 😂😂😂😂😂🐸🐸🐸🐸🐸,,3.0
5683,شنو هالبنات اللي فصخن الحياء يتغزلن ببائع الكليجة وهذا أنا أزين منه محد تغزل فيني😏عمى بعينكن ماتستحن👊,HS6,5.0
2311, كنه نجدي 🐏,NOT_HS,0.0
14756,ولو ولد ماسك صور اي بنت كانت قوموا الدنيا وقعدوها ، تبا لمجتمعنا ككل الذكوري 🖕🏻,,5.0
10262,اما اليمن كانت عربيه وستبقي عربيه.. ما شان الفرس باليمن ولماذا يتدخلون بشوون الدول العربيه.. ؟ ؟!! قال الله لكم الرسول  الله ص  فوالله لا كسري لي بعد كسري.. صدقت يارسول رسول الله عليكم جميعا اللعنه الي الدي يوم الدين ايها المجوس الصفويين واعداء المسلميين.. 😷✋🙋,,1.0
13716, 😂😂😂👊👊👊 الله يخليك لنا يارب بس مو انت المقصود للأسف😂😂😂🤣🤣🤣,NOT_HS,0.0
652, شنوا هذا عظام 😷,NOT_HS,0.0
8000, حريقه تحرقهم وجع 😡,NOT_HS,0.0
4555,اليوم حلوووب جدا جدا للغاية جدا 😍❤ لعيون ايفاانكا 😍 ٤٨٠ مليار دولار عقبها خلوووك تدفع ضرايب ياا 🐑 🐑🐑,,1.0
6994, اقول على شحم القادسية زعيم الكويت ان تعديت بطولاته تكلم الله يخلي ضربات الجزاء اللي خلتكم تاخذون بطولات منا صك دفاع والعب بلنتيات بكأس ولي العهد هالسنه اخذلتكم 😂😂😂 والدوري عن طريق محكمة إدارية القسم الثاني بالدوري دايم نفوز اذكرك بهاترك بدران ولا اهداف رضا هاني والشيخ 💛👊,HS3,3.0
5063,ياكرهي للمزح اللي كذا😤 ,NOT_HS,0.0
14714,معقولة معاد فيه اي حياء وادب م تستحون على دمكم انتم متجمهرين عنده لهاذي الدرجة معقولة وصلتوا الرجل هو الي استحاء وانتي نفسك م انهز فيك شعره و تصورين بعد اعوذ ؟ بالله بس  ان لم تستحي ؟ افعل م تشتهي نفسك  url 👎🏻,,5.0
11448, 😱😱استغفر ربك 👊🏻😂😂😂,NOT_HS,0.0
12563,ههههههههاشو عالم هذوله اليهود بكل دول موسسات واحزاب وانظمة العالم السياسية يعملون ، يعني مثلا ما يعرفون يشتغلون بالزراعة او بالن الحدادة او النجارة ؟ لو ما يسيطرون على مفاصل الحكومات لو البنوك! لهذا السبب حالة العالم مزرية😡👎,,2.0
7637, قصيميه مغرورة من حقك😣,NOT_HS,0.0
8640, اعمل جروب كفر وفجور ( انا كافر   كافره ابيض  ملكه مسيحيه ملحد  منقبات )  وصل ٥٠ رتويت ، هعمل الحروب واضيفكم. مفيش اي دخول للجروب الا …,,2.0
10499, لا لحمه وشوية رز مش كتير 😠😠😠😠,NOT_HS,0.0
14607,بايع  بايع   الكليجايافضحي فضحاه 🤭الله يفشلكم من بنات وربي فشلتونا ماتستحون url ؟ انا ابي اعرف امانه ماينغزك قلبك ماعندك ضمير يقول يابهيمه عيب بموت طاح مكاني من الضحك الخجل وانا مالي دخل هه يويلي والله ماعد به حيا😡,,5.0
9724,  جب👊🏼,NOT_HS,0.0
1838,اول شي من السخافه جدا اكلم شخص دمه حلو يسبب لي هالضجه ثاني شي السخافه والوقاحه القناة الي مطلعته لهدرجه اعلامنا سخيف 😒 وماعنده مواضيع هادفه ومفيده! 😷 ثالث شي انتم البنات ما تحبون تشوفون حلوين بحياتكم 😐 مو معقوله حسستوني نفسكم بحياتكم ما شفتو شباب حلوين بحياتهم 😑كيف نتطور وهذا شعبنا العزيز وهذا اعلامنا  بايع  الكليجا,,1.0
12357,#بايع_الكليجاالله يفشلكم فشلتونا يالمراهقاتانا استحيت من تصرفات البنات وتعليقاتهم وانا مالي دخل 😷,HS6,5.0
685, يابني انت بتجاهد  في سبيل العلم. لا تخجل 🐒,NOT_HS,0.0
9344, تافهين الف 😷😷😷😷😷,NOT_HS,0.0
1494,هههههههههه الله يقلعهم هم بس يبون يموتون بالمتوسط ويصير اغلبه حشر ودعاه ، وقصص موت وقصص من عذاب قبر وعذاب وقصت الحرمه الصغيره ماقدرو يكفنونها لانها تعرف تلبس مزلط وقصير كذا بالعروس ، ليه 👊👊👊👊,,2.0
3881,#انا_مش_حتجوز_علشانمنظر البنات ف الشارع لايحبز علي الجواز...الواحد هيبقي حاسس انه بينقي في طماطم السوق كله حاول ينقي فيها....😡😡,HS6,5.0
13575,_يا ساكًنةًة جوا قلبي و قاعدةة  بالبيكيني .. قومـي البسي حاجة ، لا تاخدي بـرد و تعدينى  🐸😂_,NOT_HS,0.0
102,هو مايدري عن فلكلور شعبي عرقي غربي وسوري هو يدري عن رعايه لبعض الحيوانات فقط يلا روح لاعاد نشوفك هون ولك 👊👊👊👊👊  سلطان  القحطاني,,1.0
13360,لا بوكن ولا بو من جمعكن يالفاسدات فين الجمال في الموضوع والله البنت المتربية زين ماتقدر ترفع عينها بالرجال وتكلمه 💦💦💦😷#بايع_الكليجا ,HS6,5.0
5412,بايع  ، بايع  واكل الكليجايعععع تنرفزني الشكليات اللي تنتهك خصوصيات الاخرين بشكل ممجتتمععع غبببببي ومتخلف وهمجي  وقليل حيا بعد 🔪,,4.0
10343, الريس السيسي هدم 80 سنة من حلم الاخوان الخنازير ولعنة الله على الزنديق سيد قطب 👞🤣🤣🤣,HS3,3.0
4266,الله يقرف غثاثتك😤😤😤😤😤😤,NOT_HS,0.0
10113, كويس حصلتك في ذا المنشن ، مانته تقول في ٢ بيلغون الرسوم ، الله يسامحك فرحتنا 😂😂😂👊🏼,NOT_HS,0.0
1751, احسب 😂😂🤪👊🏼,NOT_HS,0.0
3488, صباح الخير 😡,NOT_HS,0.0
13054,زوران النصر 😷الي مصخرنا وسيد الانديه المتذيله ضحك علينا مثل زوران الي م انقذه ايالا ب الهلال ١٢نقطه زوران الي سبب م …,,3.0
3041,"مشكلة والله لما تروحين عند دكتورتك ومعك صديقتك وتخليها هي شاهده عليك 🙆🏻   ""وتقلب صديقتك تهديد خلاص يعني شاهده "" هذي يبيلها كذا🔪",NOT_HS,0.0
13678,🔴عاجل.... سابتكو ترفع قضية بعد مطالبه تعويض على نادي النصر ، محتواها... ١ / اسطب خلفي فتحة يسار٢ / لمبة اسطب خلفي يمين٣ / شمعة يمين ٤ / شمعة خارجية يسار٦ / مسحات شمعات٧ / مسحات زجاج امامي٨ / اربع مسحات زجاج خلفي١٠ / زجاج في عدد ٨ ١١ / سمكرة بديالله يعين النصر بيلقاها بكرا من سابتكو ولا هياط الجماهير ولا جمهور الباطن😣😣,,3.0
9958,عوزا اروح الجبل ❤عوزا اروح هناك اتخانق ، وازعق ، واتعصب ، وشتم ،.. عوزا اروح اعاتب ناس كتير هناك فى المكان الواسع العالى..🌸👽🔪,NOT_HS,0.0
14279,فاهمات شيء بس قليلات حيا الرجل الي يبقى رجل يخق انثى يغازل عينه لمده طويله من خلقت الدنيا مو غريب لكن انتن ياالي تصورن الرجال هذا وين وين الحياء والخوف من من الله 🔪🔪🔪,,5.0
10434,  يععع🙉,NOT_HS,0.0
2312,  بروحي بدبي 💄😍👅 حيالله الجاديناللي بيسوي #ريتويت👍 بس برد عليه غيره 👎 ,NOT_HS,0.0
11870, مش عارفة😤😣😣😣,NOT_HS,0.0
14091,لا عيب لا لا يابنات لا عيب لا فشلتونا مايصير جذي صح الولد مو حلو بس البنت فششله عيييب وين كرامتك وبعدين اذا ماتستحين منه ترا الرجال متزوج 😡,,5.0
2608, اقول ليتهم نامو ذيك الليلة ابرك 😷,NOT_HS,0.0
773,#بايع_الكليجاقمه بالسخافه الحمدلله والشكر الله يقطع الخفه اللي فيكم ما شفتو خيير قطع اثقلي انتي وياها 😷👊🏻,NOT_HS,0.0
6250, ههههه لا ماعليك بعالجك 😂👊👊,NOT_HS,0.0
3287,  ايفون دا🌚🐸 ,NOT_HS,0.0
10160,الصديقة اللي تسحب عليك بكلاس الصباح اسحبي عليها 🔪🔪🔪😑,NOT_HS,0.0
3561,خليك خلك في بلدك الاصلي يا مشرد ، بكره يصير مالك مكان انت وهو وامثالك في قطر وبترجع للزبالة الي طلعت روحك منها👞,,1.0
753,اقسم ب الله ناس اصبحت عقولها مقرفة برمي كل الاسامي و التهم ع اكتاف كل من ما كان له فكر حر.. يشتو مطبلين له و قطيع.. انقلعو الله يقرفكم فاض طفح الكيل منا بنا ثم منكم!!! قرف 😠😷,,4.0
14736,من جد كلامك كلام ميه ع ميه بس مصيبه اذا ذهب فيها الحياء سخيفات مقزز جدا😡👊🏻👊🏻👎🏻,,5.0
10314,  الحيوان الي بالصوره شنو 🙃💔 عيوني اجعتني 🔪 ,NOT_HS,0.0
11739, الله يلعنك 🖕,NOT_HS,0.0
2706, ايه والله عندنا ياخذون سماعتك وروجك😂💔👊🏻,NOT_HS,0.0
8052, ساحبين عليك سيفون 😂😂😂😷😷😷😷😷😷,NOT_HS,0.0
10478,احمد احمد ربي ان اكرمني بالغاء متابعتك تابعتك من بدري منذ ان صرت دابة تتميلح وتبحث عن الشهرة واتجهت الى الليبرالية انتهى ياانك user غثيث بشكل غير ؛ طبيعي ,,3.0
9118,كفوووو والله وليتك لاعنه خيرها بطريقك تنررررررفزززز😤😤😤 ,NOT_HS,0.0
4027,وش ذا الخقه ياتافهه انتي وياها شويه سحى بالله و استحو ع وجيهكم فشلتونا كل شوي تصوير خلاص بس اهجدو الشرهه ع الي معطينكم جولات يابزارين 🤦🏼‍♀️👊🏻 #بايع_الكليجا,HS6,5.0
7338, الملك الشاب  بن عبداللهقتل موامرة جونمكين وعملايه   و الاخوان و خلاهم يترنحون  الملك الاسد  محمد سلمان انق ذبحهم🔫بالضربة👊القاضيةب  عاصفة  الحزممني ع …,,3.0
754,مو دايم أقول ان ما في أحد مجتهد ويطلع افكار واقتراحات لتويتر كثري .. شكلهم خلاص حسوا بقيمتي واخلاصي وممكن يوظفوني معاهم كمان 🙉😂💙💙💙💙,NOT_HS,0.0
4632,انسان غريب حتى شكلك غريب ليش كذا تزعل من اصلك طيب اصلك كان زيدي بس معروف انا يماني المحنشي من يمن من تعز يعني لحجي زيدي ليش انت تزعل وعامل نفسك اهلاوي تراب في حلقك الشريف سيدك وانت وتاج راسك يا عبد زبالة يا زيدي معفن احمد ربك نظفناك وخليناك ادمي وانت يا حمار 🐒,,3.0
11836,  قبل لا تقول صباحكم ومسائكم أنا شغل الكاميرا الاماميه وشف وجهك وجه خير ولا لا 🌚😏👊🏻,NOT_HS,0.0
6762,الملك يملك كل المقاعد ، واللذين يجلسون عليها هم مكونات دميه ليس الا! user كفانا كفى خداع👎😡,,4.0
9782, حنا بدو بدو ياجاهلين البداوه ♡ ,,4.0
2871, يماني بعينك سعودي حارثي 😠,NOT_HS,0.0
6151, قليلة الحياء والدين رخيصه وتافهه 👎🏼 ,NOT_HS,0.0
5381,  والنبي شوفلي كده احلي ايام حياتي جايه امتي 😭🐸 ,NOT_HS,0.0
4327,احس صاحب فكرة موضة البنطلون المخطط الوردي هالسنة سخيف وماعنده غير سالفة وعبيط وما احبه .. كل الدوام الصبح لابسين مخطط! احس بهج خلاص ما صرت اقدر اتحمل 🤦🏻♀😭☹☹☹🦅🌚🥀,,4.0
4859,بكرا علي اختبارين وبنام لين اريح راسي واستعد للمذاكره وبفجر بمخ اختي وعيالها ان صحوني بدون ما اصحى بنفسي 😡,NOT_HS,0.0
7016, جبتها معايا من دبلن homesick 😣,NOT_HS,0.0
9569,  #بايع_الكليجاكرهني بوجهي وبديت اكره الاهتمام بنفسي😤,NOT_HS,0.0
2495, عموما هاليمنيه تمثل نفسسها فقط وماتمثل بناتنا وشوفاتنا ابداااا تمثل نفسها ومن على شاكلتها 👎🏻,NOT_HS,0.0
6233,#تميم_قايدنا_وحمد_عدونا 😉هذي الخطه البديله يالرخوم صح😂 لعنكم الله يامجنسين عزمي 👎,HS1,1.0
1626,لا معليش ماتفقنا كذا اوفر🙂💔🔪🔪تسجيل خروج من كوكب الارض🚶🏻‍♂️🤦🏻‍♀️. #بايع_الكليجا ,NOT_HS,0.0
11071, ولله صج ولله😂😂😂😂👊,NOT_HS,0.0
1645,صايره كلشش مالي خلق تويتر 😷,NOT_HS,0.0
10988,كره الكويتي للسعودي وراثه شعب للاسف نكر جميل للجميل لبلده شعب منافق خاين شعب يسوي كل شي من تحت لتحت كله ضد السعوديه والقهر لما يجحدون مساعدة السعوديه في يوم تحرير الكويت ويقولون السعوديه نزلت ترسل جيشها عشان تحمي الشعب السعوديه مو حب في الكويت 🖕🏻💔  العيد  بالعيد الوطني  الكويت,,1.0
13294, هههههه شال روحك فيدك 😂😷,NOT_HS,0.0
76,هو ده بقى غدر الزمان 👊😂😂 ,NOT_HS,0.0
4147,رد على #عبدالله_الكذبه النجس ولد النجس بين للعالم ان حكومة #قطر فعلن نجسه وتمول الارهاب والحوثين وشاركت في خيانة قوات التحالف .. تفوووو عليك يالكذبه وعلى حكومتك وعلى المحايدين فوقكم 👎🏼 ,HS1,1.0
13552,أعاهدك باللي خلقنا من الطينتبقى بقلبي لين تفنى حياتي 💛                             #ورجعنا_بعد غيبه😅👊🏽,NOT_HS,0.0
14028,🖕🖕🖕 جديد باسمي اتبري من جميع اصناف الاناث الذكور ماعدا النسويات,,5.0
7667,  أحلى شئ يوم #الأحد اصلا 😣صباحكم أجمل و بدون كسل😩#قروب_فواز_للدعم #الشريف_للدعم #قروب_الغلا_للدعم #نلتقي_لنرتقي_للدعم…,NOT_HS,0.0
11547,انا ما اهرج مع ناس ماعندهم الا دوري ٣ دوري فقط وولا ٢ كاس ف اسيا بطولتهم الباقيه كلها محليه 😂 ويقولك التعادل مع عمهم الاهلي بطوله حل يشيخ 😂😂💛💛🐸,,3.0
9537,url ويزعلو بعد اذا قلنا ضفادع 😪🐸,,3.0
6208,مو وقته عشان مافيها بانزين😠,NOT_HS,0.0
9884,ابلع ابلع يالسباك المخيس 😷,,4.0
13845,🖕🖕🖕 باسمي اتبرئ من جميع الاناث ماعدا النسويات ,HS6,5.0
3061,قققققققققررررفف😷😷انسحب من فريقكم الخفيف انا ماوكلي  ,HS3,3.0
879,  #هشتاق / فيديو كلب رهيب🔥👊💢  مع الفنانه ساميه  بصوت /--- شرين عبد الوهابمن تصويري وإخراجي galalfasbka جلال فسبكه…,NOT_HS,0.0
10298, خايس👎🏻,NOT_HS,0.0
529,صيغة الخبر تحريضية!! وضيعة  هذه نتيجة العقليات التي تدير من بعض حسابات التوتير نسو ان معظم بعض اللاعبين اصيبو بالرباط دون ان يحتك بهم احد او التواء في مفصل المفصل او تمزق عضلات او يدخلون بها في باب النوايا التي لايعلمها الا الله ويتبجحون بالزور لا لشي ما سوى نشر الفتنة والفرقة والتعصب والشقاق في الشارع الرياضي ‼,,3.0
6235,الله يفشلكم لو انه مشهور ماقلنا شي بس مواطن عادي مناشبينه بحياته كذا ليش !! 😷💔 ,NOT_HS,0.0
10726,user ايات ب النككككااح ♡ بسسسهوله ♥ تبين لكك بششريه على هالكككتااب.. خخ وكلهاا ورا ظهر مصالح الذككووووور.. والمفسسر😑😬😣مجنووون ي بع …,,2.0
13634,حركات حركات كفار 😷,,2.0
3992, يعني انت هسه نايمه وكلشي ينكتب ماراح تشوفيه ؟!😕الله يطيح حظ امريكا وتوقيتها 😠,HS1,1.0
2986,#بايع_الكليجاوربي مو حلو لهدرجه مدري ايش شايفين فيهفيه كثيرررر احلى منه😷,NOT_HS,0.0
10000,اقرف قهوه ذقتها بحياتي من ريحتها بدت تقلب معدتي عاد الطعم تكرم النعمه للحين غثيااااان 🤢🤮,NOT_HS,0.0
4517,دعاتك ايه ؟ المصريين ؟ والسعوديين معك ؟ ؟ السعوديين وامة محمد كلها ضد الكلب النجس القمص زكريا سليمان بطرس👞وامثاله الخونه ؟ ؟ المتطاول عل …,,2.0
13715,شلون الله راح يرحمها وانت توك تقول انها مسلمة هندوسية مب مسلمة.... صحيح انك حمار ,,2.0
6416,#بايع_الكليجالسه المستشرفيين بتاق نباح من الليل حتىالنهار  🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶😂😂😂😂😂😂ههههههههه,NOT_HS,0.0
13088,اتلهي 🤮 ,NOT_HS,0.0
10775,انتو برا الموضوع 😷الاعداء في نهاية اللعبه القادمة هم التكفيريين و قوم داعش 🤔,,3.0
14104,والله قل الدين والقيم في المجتمع الا مافيه رجال يردعوون بناتهم سفييهات اللي الوحده ماتستحي فيهم والا مافيه غير امهات تربي بنتها بناتها علي الحياا دين وليس حياا 😡✋🏻  بايع  تبيع الكليجا,,5.0
10725, من مصر  ما فيهاا  ايهعصابة مش عاوزه الدبحواسمها حكوووومةوزيرة الهجرة : ( المصريين بالخارج عايزين يصوتوا بدمايهم ويبحثون عن مشرط ) لا تعليق وانتي الصادقة وكل ده عشان احنا دلوقتي بنبحث عن ساطور لكي نطير به في رقبة امثالكجرى ايه حاجة😡صوتوا عليكي ساعة وسكتوا عليكي يا شيخة😤,,1.0
12256, هو مايدري عن فلكلور عرقي وسوري يدري عن رعايه الحيوانات فقط يلا لاعاد  نشوفك هون ولك 👊👊👊👊👊#سلطان_القحطاني,HS1,1.0
10986, هش هش اخلي فحولي و اصير لك لحالك 😑🤣🖕🏻,NOT_HS,0.0
8285,نصيحة :احذر النظر عند موطأ قدميك حال مشيك صباحا ف شوارع السعودية حتى لا تقع عيناك ع أمر من شأنه ان يفسد يومك ...😷😠عايدي خلك تطيح ف حفرة مو مهم,NOT_HS,0.0
4750, تقبلها على اساس فائده علميه الناس تدفع فلوس علشان تسويها و انت مجاني 😂😂👊🏼,NOT_HS,0.0
5645,url اقرا التاريخ ياطحلب 🐸🐸 زين قبل لاتتكلم على اسيادك اسيادك 💙🔥💛,,3.0
3483,user هو اصلا في رجال الحين ؟ يمديهم حسموا الدوري من نهايه القسم الاول لهم والحين احنا رايحين فيها حتى فوز اجنبي واحد عليهم بالملعنه الاسيويه مع هزايم وتعادلات صعبه 👎.  بعزيمه  الرجال  الدوري  للهلال,,3.0
11441, ههههههههاهلا بالعيد😡عيب عيب صحيح واوفرياختي ابا اساله شو شعورك احسه منطقر بس رزقه,NOT_HS,0.0
4705,الى معشر صناع شركات الاسهم بالسوق السعودي الجحلطاذا فيكم فعلا ذرة رجولة حقيقية اعملوا مثل مضارب الصادرات بدل الشنب😡,,4.0
2744,ليليان lilane ben daoud ده ودنك 👂 يا حفيدة صهيون ايوه 👂ودنك اللي ودن ايوه  اسمعي ديقربي كده ايوه ايوه... قربي كمان ك …,,2.0
3481,اوباما  الملك عبدالله  عبداللهقتل موامرة جونمكين  وعملايه  خبث الاخوان خلاهم يترنحون  الملك عبدالله  حزم سلمان ٲ ذبحهم🔫بالضربة👊القاضيةب  عاصفة  سلمان الحزممني ع …,,3.0
5824, لا ممنوع الا ذا 😓😫😠😡,NOT_HS,0.0
9235,ثقة عمياء مش بمحلها وووععع 🤢.,NOT_HS,0.0
