,tweet,off_label,label
10890,اوعي تصدق صحبامارة السعودية كل يوم تكلم فيها ترامب وتترجاه يتوسط لها بينها وبين قطرلا والبحرين كمان والسعودية جابت مرتزقة اردوغان وتميم عشان يقدر يحموهاوالامارات عملت معاهدة مع شريفة وتميم عشان تقدر تحرسهاوالمصريين برضو خايفين تميم يكشر عن انيابه ويحتلها في في نص ساعةتكلم كانك ,,1.0
6718, لا بس انا بحب اغسطس ياخى عن ابن الكلب القصير ده 👊😂😂,OFF,1.0
6990,#بايع_الكليجا ياوجه الله حتى في ذا🙂💔من غمزه لكليجا ؟شعب خفيف يهب😒💔🔪,OFF,1.0
10039,ومن درامات مدارس البنات ام   جلحات الوراء 😅😅👧 : ايوا نعم مين ي استاذ🐸👋👨 : معانا وحدة ولا نايمةة ؟ ؟ 😒❌👧 : والله لا م معاكم 😏😏✋👨 : طيب اذكري لي واحدةة ؟ من ادوات التعجب ؟ 👧 : اشششششي🐸💔👨 : اشي غلط عليكي انتي.. اطلعي بره الغرفه ي حيوانة🌚👈😂😂😂👋,,1.0
7703,#بايع_الكليجا شوفوا ما أنكر انه حلو وجذاب مرااااا بس بنات مرا اوفر اللي تسووونه خفوا يامممال الصلاح 😂👊🏻 ..,OFF,1.0
5397,  بما اننا كملنا 40 رتويت يبقى انا عندى وعدى ليكم 💙❤اول جروب النهارده ( سحاقيات ) ملكات وخاضعات👠👸وكل خمس دقايق هنزل جروب…,OFF,1.0
3972,مبحبش الناس اللي شايفه نفسها .. ومبحبش الناس اللي فاكره انها محور الكون والكائن الرهيب اللي مش موجود ف الوجود .. ومبحبش الناس قليله الذوق .. ومبحبش الناس اللي فاكره ان التناكه سر الجاذبيه .. بص انا مبحبش الناس اصلا .. كتكم القرف زهقتوني 😒👊,OFF,1.0
7115," ""العقد"" + ""الهيلق"" 🤢",NOT_OFF,0.0
1481, *محمود* : ايه دا انا فاضي طب م اطلع رحلة ل 57 وماخدش سوزان معايا 👊👊💔💔😢😢😢😢,NOT_OFF,0.0
6559,خيير تعالوو مانبي خصمم💔💔🔪🔪,NOT_OFF,0.0
4909, مجنسة🐸,NOT_OFF,0.0
5584,ياجماعك ركزوا انها بالبداية كانت بتأكلها!!!!!!!🤢 ,NOT_OFF,0.0
9428,يعني انت الى الان تنابح بكل عنصريةوانانية😤المراة خلاص الحين بتسوق بسرعة وبتتخلص وتت بعدمن كل اصحاب ذات الفكرالعقيم امثالك 😁 تسوق  قيادة  المراة url …,,1.0
642, حبيبتي بي رويال خلج بعيد عن هالسوالف ولا تخسرين متابعينج بهالمواضيع الواضح من كلام النمران انج معاه فاللي يسويه هالشيء غلط وعيب ومب رجوله كمبدأ بغض النظر عن تصرفاتها الشخصية 👎🏻,OFF,1.0
2852,   مغبر 😷😷,NOT_OFF,0.0
4903,عيبوالله 😂😂💔👊 ,NOT_OFF,0.0
2596, برضه الزوجة تريد التجديد اكثر من الرجل ولكن حياؤ هايمنعها🤗😤,NOT_OFF,0.0
8317, هذا سباركل ، صادقنا بعض لانن نفس المزاجيه والحده بطبع  🐕🤦🏼‍♀️💔 ,NOT_OFF,0.0
9578,كم مدفوع مقدما لك! ليه ؟ بسك كذب وتمثيل على قطعانك ,,1.0
493, الله يبتليج بتغريدات اغث من هذي مثل ما ابتليتيني بوسط استمتاعي😭😭🤢 ,OFF,1.0
4991,وش ذا اليوم الثقيل الدم 🤢,NOT_OFF,0.0
917,تعبت وانا اكتم كل شيء يارب راحه من عِندَك وتيسير الامور 👎🏻,NOT_OFF,0.0
11210,المشاهير يضحكون على ثقافة اللي يمشون بسرعة ورى القطيع وهما اللي كانوا يدعموا ثقافة القطيع👎🏻,,1.0
8739,  #تلغفك الكويت والسعوديه واحد لا ترفع بوحده وتكبس الثانيه 👊🏻,OFF,1.0
963, م  ط 😷 وطحلبي ماااتنرقع 🤧,OFF,1.0
249, مادري ليه ماانقرض مع اللي انقرضو😣,OFF,1.0
5941,غداء وحداني 😣😣,NOT_OFF,0.0
9032,اوف وهاشتااق بعد 💔 لاااكذاااا اووووفر عليي 🙁 user 😷😷😷واللي يقولون حرام مسكين بالعكس متضاايق جدا الا بالعكس مبسووط والا كان بيموت يمديه ماعاد يجي ويفكنا من الاكشن والفوضى والترزز وقلة الحياا اللي صاايره   وفاه بايع  الكليجا,,1.0
1706, م اتخيل وحده ممكن انو تشوف هالمخلوق🤮🤮🤮🤮🤮🤮🤮🤮🤮 يع,OFF,1.0
3795,  واول صباح الخير وأول تويته من موبايلي الجديد.. عايزه مباركات.. زغروطات.. مهرجانات.. ياااااااارب 😂👊💓,NOT_OFF,0.0
8738,أعوذ بالله كل زق مخليتهم لك 😭😭😭😭🔪 ,OFF,1.0
5379,الأخوات اللي كذا يجوز ذبحهم🔪🤦🏻‍♀️ ,OFF,1.0
4578, نعم هذه هي الانثى 😀🙈👍👊🏽👊🏽👊🏽امتياز مع مرتبة الشرف عيل بقره هااااا 😂,OFF,1.0
205, عيييب في بنات يشوفون 🤦‍♂️🤦‍♂️👊👊👊,NOT_OFF,0.0
7458, 😡😡🤤ولدكم رصنووه عندكم,NOT_OFF,0.0
4617, اعوذ بالله قلتيها انتي   😤اما انا الحمد لله كي علمت بوجودك   🌷🌷🌷,NOT_OFF,0.0
7130, فعلا غثوا امنا ب صاحب الكليجة😷,OFF,1.0
5843, عه عـــه 🤢😷 ,NOT_OFF,0.0
6690,  هههههههههههههههه لا انا مستكن الاصلي وهو التقليد لكن هذا الزمن للاسف مجحف بحق اجمل جيل الا هو احنا 👊🏻😝,NOT_OFF,0.0
8455,كميه الناس الي بتيجي ف ال request وتدخل تقولي منه! ولا كأنها عارفني بقالها سنه مثلا 🙄🐸,NOT_OFF,0.0
6398, افترااا 😡,NOT_OFF,0.0
11272,حيوان هه 👊🏻,,1.0
3125, ابو القرف يا شيخة عالم منتهية 🤦🏻‍♀️😷,OFF,1.0
11036,ابي زب سالب صغير مربرب او متين في لبن او السويدي او حي البديعه بالرياض 😘والخاص بوفيه مفتوح اللي يبغى جاد يجي خاص او يجي سناب 🙉  او موجب  الرياض  سالب ممحون  ا …,,1.0
5827,  الولد الكبير :دلوع الأمالبنت الصغيرة: دلوعة الأبالوسط: يهودي من بني قريضه🐸💔 😂هههههههههههههههههه( كل واحد يكتب ايش ترتيب…,OFF,1.0
4966,  #الجدياذا بتجي تتصل وهي بنص الطريق؟ وتقولك ترى قريبه (مادري ليش 😂)واذا مابتجي تسحب بعدين  تقولك ترى طالعه المكان الفلاني 🐂…,NOT_OFF,0.0
3080, خلاص ماسويت شي انتين مايمديني اقولش شي بسرعه الدنيا تمسح بوجهي 🤣كل شيء ولا ام سيوف👊🏻,NOT_OFF,0.0
11020,قوول للليييييييييششششششش والله ي عممري ززززفت ,,1.0
2094,لن يهبط ملاك من رب الكون على آل سعود ليصححوا من مواقفهم وسياساتهم الهوجاءفلا وحي بعد وحي سيدنا محمد عليه السلاملن تغير من جبروتها وكبريائها على أشقائها وجيرانهاحجر أساس بناء مملكة آل سعود هو صك بيع فلسطيين لليهودتدفع ملاليم لفلسطين ومليارات لأمريكا والصهيونية👎 Hopeless case,OFF,1.0
3106,  وما الحياة الا مهزلة اشبه بالكباريه فيه بنات اللي بس مش عارفين ليه بقوا كدا 😣كلنا وحشين بس السبب غير معلوم للجميع وساعه مش بي…,NOT_OFF,0.0
11307,ههههههههاشو هذوله هم اليهود بكل موسسات وانظمة العالم والاعمال السياسية ، ليش يعني ما يشتغلون بالزراعة او بالطب الحدادة او النجارة شلون ؟ لو يسيطرون على اموال الحكومات كلها لو البنوك! هل لهذا السبب صارت حالة العالم مزرية😡👎,,1.0
2434,  اعتذر وقفت شبكه👎🏻,NOT_OFF,0.0
10117,قلة ادب بالعالم كل من يشتهر شخص يجيبون عليك صوره له قديمه واستلم ، يهيه ياخي تراه ادمي مو سراميكه يعني ينقال خشتك ماتغيرت ثابته زي ماتغيرت من ولدت🐒,,1.0
4937,قسم بالله شكلو عاااادي جدداااااا مو لدرجة الوساامهياخروفاااات🐑🐑#بايع_الكليجا,OFF,1.0
586, كلهم 😷😷😷,NOT_OFF,0.0
1129,  ﺎﻟﺣرب ﺧدعهہ ﯙﺎﻟﻣرﺟلهہ ﻣﻳزانن​​ﻣو ﮔل ﻣن رﺑا ﺷﻧب ﺻار رجال  🤚🏻👎🏻,NOT_OFF,0.0
887,محد جاد 🙉,OFF,1.0
8748, لا لاا بس لي وخررر 😤🦇,NOT_OFF,0.0
7688, شقصدي 😂😂👊 انت جيرل فريندك وانا بوي فريندك 😂,NOT_OFF,0.0
7639, كبينة ٨ حي النهضة 😡😡😡 كبينة ٨ حي النهضة 😡😡😡 كبينة ٨ حي النهضة 😡😡😡 كبينة ٨ حي النهضة 😡😡😡 كبينة ٨ حي النهضة 😡😡😡 كبينة ٨ حي النهضة 😡😡😡 كبينة ٨ حي النهضة 😡😡😡 كبينة ٨ حي النهضة 😡😡😡,NOT_OFF,0.0
5149,اذا مابيسوي حادث يبغا يتضارب مع الخلق مع هالصبح لعنك الله من سواق درينا انّك فله!!من وين طلعلنا هاذا.😒🔪😂😭,OFF,1.0
8574, ذا ويتشركال اوف ديوتيرزدنت ايفلاساسن كريد وحاب اعتذر لدارك سولز😣,NOT_OFF,0.0
10275,هههههههههههه والله اظن صاحب عمرك ذا ماتعدا عمره 12هههههههههه جاهل انت ماتعر تهرج url حنا ديرنا من المهد بحر للبحر اشرب ياخبل واتنم قرود الطايف😂😂😂👞,,1.0
8031, الاختبار زعلني😠😠,NOT_OFF,0.0
10886,  بايع   بياع الكليجا الله يفشلكم تراه انسان مثلنا طبيعي حالنا حاله بذي التصرفات بتزعجونه يعني خلي فيه عندكن شوي حيا ، يامشفوحات ماعندكم حياة انتم 😷,,1.0
2518,  فقط في الخليج 😍اي رقم دولي يتصل عليك 😊يعني ساحر! 👊طيب يمكن مصطفى الآغا😜,NOT_OFF,0.0
8374,صايره كلشش مالي خلق تويتر 😷,NOT_OFF,0.0
5262, استحي عيب المصافح😜👊🏻,OFF,1.0
7250, فان دايك ركض وراه بيب لحد ما سحب عليه وهذا احسن من كل مدافعينكم لو تتابع بحياد لكنك فشلوني وعقلية الفشلوني معروفه 💩💩 😂😂😂,OFF,1.0
3555,  الرد واضح وصريح 👊👊😂😂 ,NOT_OFF,0.0
1093, حلقة سيئه ..موضوع الحلقه عن الاغاني ايش دخل السياسه فجاه! وايش دخل ساعة الولد تقليد ولا اصلي !! واحنا نتابع تشتتنا كل شوي فاتحين موضوع!!!؟ هذا غير الاسلوب السيئ مع الضيف👎🏻واذا فيكم شده لمواضيع السياسيه على الاقل احسنو الاختيار ماتجيبون شاب ماتجاوز 20 سنة واجهو الكبار🤷🏻‍♀️,OFF,1.0
654, هيئ باقت كده🙈🙊🙉😝😛,NOT_OFF,0.0
6273,#داليا_مباركالله يفشلها هي وصورها الماسخه.نـَست أنها مسلمه😒🔪!!,OFF,1.0
5016,لا تحزن اذا #فضل أحدهم شخصآ آخر عليك... لأن من #الصعب إقناع القرد🐒 بإن الفراولة🍓 أطيب من الموز 🍌#ديوانية_الملكي_12 #قلعة_الكؤوس,NOT_OFF,0.0
6414,#صلاه_الجنازه_القادمه_انتلا اله الا الله 😭  يا رب حسن الخاتمة ..، الله يسامح اللي مسوي الهاشتاق 😣,NOT_OFF,0.0
10702,صدقتي فيهم من وقاحه فضيعه صدق مدري من اي زريبة غنم ذولي خرجوا منها😷,,1.0
896,  احذف التغريد تراك قاعد تنشر نفس القذار الي نشروها  😷,OFF,1.0
1768,اقدر ابصم لكم بالعشرة انها بالمتوسط ذا الخادمة😷 ,OFF,1.0
8353, من زين صوتها الله يديم النعمه 😷😷وععععععععععععععععع,NOT_OFF,0.0
3189, ايه تكفى بس يهايط علينا 🔪🔪,NOT_OFF,0.0
1694,  عمرك سبيت شخص عند أحد يقرب له وأنت م تدري ؟🤢,NOT_OFF,0.0
6785, امال ايه يعني 👊😂,NOT_OFF,0.0
3739,اه يع 🤢🤢🤢🤢🤢 ,NOT_OFF,0.0
4684,اخيس من قام 😒👊,NOT_OFF,0.0
9229,تراه متزوج وحده ,,1.0
11015,الله ، يلعنه من يووم طلع 😷😷😷,,1.0
2829,  احح اوكيه 🙂🔪,NOT_OFF,0.0
861,أبغى أموت .. دا شيء مفروغ منه ..لكن اللي متعبني أكتر وشايل همه ..هو ما بعد الموت .. والله يا إني حأتبهدل بهدلة  😣😣 ..ولئن لم يغفر لي ربي لأكونن من أصحاب الجحيم ..,NOT_OFF,0.0
646,هذا ملابس قوشا روبشينسكي من روسيا، يعتبرونه كشخة بس شكله خايس.💩💩💩 ,OFF,1.0
11250,اشوفها كذبه استغلها الذياب البشرية ولكن العجيب الغريب ان راجعه بقوةبديرتنا نظرا لان لانو الزواج او التقليدي له مشاكل ، فيفكروا هذا حل 🤷🏻♀ ♀ ، طبعا اناضد الفكره ، يبيها يدل بيت اهلهاوهالكلام الي قلته لبناتي صحيح 👌🏻🤚🏻معقده او غيره الصح صح مابيه يجي يلعب ببنتي وبعدين يرميها 👊🏻,,1.0
696, وش ذَا الفيس 🐸 يا راكان تحاول تستفزنا ولا كيف أنا أصلا شاك فيك انك خدمي مندس اظهر على حقيقتك 😂😂💔 ,OFF,1.0
516,جددد مصخره هذي النهاية لما تعطون بنات وجهه  🔪🔪 ,NOT_OFF,0.0
8863,هذا كان سوْال  ! يارب يجاوب شي حدا انتم الواحد يكون يموت ما تسعفوه 🙉بس احكوا قولوا حتى ما تعرفون 😡,OFF,1.0
7571,#بايع_الكليجاعيييب والله عييب 👊🏻,NOT_OFF,0.0
3531,انا شمقعدني هالحزه لو دوام ماقعدت🤦🏻‍♀️👊🏻,NOT_OFF,0.0
2768,ما يوم شفت هاشتاق عربي بالترند صاحي ! تفاهتهم لا تطاق 😷,OFF,1.0
6989,وش قلت الأدب هاذي فديتكم 😡خلو الرجال يسترزق 👍 #بايع_الكليجا,OFF,1.0
1899,في حد بصحى بكنّس الساعة ٦ الصبح😤😤😤,NOT_OFF,0.0
1877, المدينة المنورة حلم😣,NOT_OFF,0.0
4972,اظن الرساله وصلتالمسدج وصل 😂😂😂👊🏻👊🏻👊🏻 ,NOT_OFF,0.0
7282, بس يفك عقوصها☺🔪,NOT_OFF,0.0
3299,مش حلو بالمرة لان هيدي مش حكي ولاد واسئلة ولاد هيدي اسئلة كبار بافواه الاولاد 👎👎👎👎👎👎#دق_الجرس,NOT_OFF,0.0
1718, بو غانم اللي اشوفه مهب تحييل هذا رقص ، الشباب من ربع وزير خارجية البحرين 😷,NOT_OFF,0.0
10813,دايركت عشان اني م اكسر راسك اكبر واكبر🖕🏿.,,1.0
9411,ربنا مايوعدكم بسواق ميكروباص رغم زي الي هوا انا لسه راكب دلوقتي معاه دلوقتي ده 😠,,1.0
5223, نعنباه يناه وعزفه الشين😡😡😡اللي مثل وجهه الامحق😈,OFF,1.0
1779, يعني هم بحياتهم كذا ماعندهم من اخوانهم احد رزة ،، طيب جماعتهم ،، يلعن ابو القرود اللي ماشافوا خير 😷,OFF,1.0
3490, بتتركي الجوال ولا كيف🔪,NOT_OFF,0.0
8962,اح ونسني ولا يقول طفش يمكن يجون ثنين مليون من ربعنا اصدقاه 😱😷,,1.0
5415, مشاء الله ايش المسلسل الكويتي ذا 🙂👊🏻,NOT_OFF,0.0
583,  هركب وادوس #بنزين👉⛽🚴علي النااااس ال مش #سلكين👊?💪✔,NOT_OFF,0.0
11016,  بايع الكلي  الكليجابنات عيب عليكم ياعرب استحوا شوي خلوا بالله عندكم مثقال ذرة احترام للي قد ربوكم مو معقولة تسوون كذا وتصورونه وتتغزلون فيه حرام عيب ياخي عييييييييب😡ماقول غير الله يهديكم بس...,,1.0
1195, قله حيا 😷😷😷,OFF,1.0
10569,حلقة سييه.. موضوع الحلقه عن الاغاني ايش دخل دخل السياسه بالسالفه فجاه! لا وايش دخل ساعة الولد تقليد ولا موب اصلي!! واحنا نتابع الموضوع تشتتنا كل شوي واحنا فاتحين موضوع!!! ؟ هذا غير الاسلوب السيي مع الضيف👎🏻واذا فيكم شده لمواضيع السياسيه اتركوها على الاقل بس احسنو الاختيار ماتجيبون شاب عمركم ماتجاوز 20 30 سنة واجهو الكبار🤷🏻♀,,1.0
3439, ولج انتي اطلق انثى 🤦🏽‍♀️💕🐑,NOT_OFF,0.0
5921,  شكله مسنتر بالصهروج منذاك اليوم لعب فيهم الباطن 😷😷😷,NOT_OFF,0.0
6671,الولد الكبير :دلوع الأمالبنت الصغيرة: دلوعة الأبالوسط: يهودي من بني قريضه🐸💔 😂هههههههههههههههههه( كل واحد يكتب ايش ترتيبه بالعائلة),OFF,1.0
8233, تركيا دوله مسلمه منت بقد ها وقد افعالها ومعاركها وانتصارتها انتو حدكم عرعر تحفطون فيه ورا الكلاب السلق ياكلاب. يوم جا الصج ركضتوا   حق السودان وبعدين البتان يحمونكم. خلكم على زقكم مع ابو فهد الاستخراء😷انتو منتوا بكفوا. تحاربون ايران ولا تركيا انتو خمسة حوثين اربع سنين ماقدرتوا ,OFF,1.0
6898,ياربي عليها صبّرني يارب 😤. ,NOT_OFF,0.0
9540,الكلية دي طلعت بنتش كلب اوي 👊يخربيت صيدلة علي اللي عايز يدخلها كلها في ساعة كلية واحدة ده كله انا لسه بمتحن في اعدادي اصلا وبيعملوا حوار معايا كده امال يعني هعمل ايه في امتحانات باقي السينين الله يخربيتكوا علي بيت علي كليتكوا في ساعة واحدة ياكشي تولعوا كلكوا ونخلص 😏😏,,1.0
9121,تحويلة شارجه url اليديده user 🖕🏼🖕🏼,,1.0
8972,… ولي يقولك نشوة الشيكورات url  مشات... وريلو لي طاطا امينة 👑 من وين  راه جات url 🔥🔥 هادو لي قبلوا شروطي 😍😍 💕يستاهلو يكونو لي تحت رجلي  قف.... انتهى …,,1.0
9473,بايع  بايع  الكليجا قلة ادب جد والله ماشافوا حلوين بحياتهم 😕 الم ن تستحي فاصنع ماشيت الرجال استحى وهم لا يستحي 😕😤,,1.0
4188,#صلاه_الجنازه_القادمه_انت الله يسد نفسك ياراعي التاق من الصبح وانت مسنتر تررنندددد😭😭😭🔪🔪🔪😩😩😩,OFF,1.0
6919, عقبال مانشوفك معانا بالمدرج قول امين 👊😂,NOT_OFF,0.0
8033,لعب مع الكبار يكبره لعب مع الصغار يصغره 😂😂😂😂😂😂👊 اعلان حضران يارمضان 💓 ,NOT_OFF,0.0
7575,  #الفيحاء_الاهلي✋️الليله مدلل الهيئه الثغراحلى طقطقه😜إذالم يفزالفيحاء على الثغر🐸 ويخرجه من🏆👇سأقفل حسابي وسأمشي سيراًعلى ال…,NOT_OFF,0.0
11091,url لا انت كداب انت ياخلف ونزلتي😂👊,,1.0
3028,فيلبي لويس 🤮 اذكر سويت نفسي بنت بالسناب وقعد يرسل لي قضيبه ويتميلح عندي هذا وهو لاعب معروف سود الله وجهك ,OFF,1.0
11120, ♀ بايع  الكليجا مو مره كيوت اوفر البنات  اللي عندنا يصورون ويتجمعون عنده سلامااااات وش كل ذا القرف  رموا الدين والحيا والعادات عرض الحيط 🤗 الله يعافينا مما ابتلى ابتلاهم الخفيفات 🙂🙂🙂,,1.0
6160, لاتتكلم على اسيادك ياطحلب تراك وضيع وتاريخك مايجي ربع تاريخنا ؟؟🐸,OFF,1.0
11229,في بحياتي ناس عايشين بس بوجهين ولا حتى وجه فيهم ينبلع🌚🔪🔪,,1.0
10098,  بايع  بياع الكليجا حسبي url الله عليهن ونعم نعم الوكيل ، ، ماعاد فيه بنات وربي لان البنات يتميزن بالحياء ، قليلات ادب احرجتن ذاك الرجل وشهرتنه غصب تصد عنه😡 هذي المفروض ترحن لشباب من مستواكن خرفان ، اهلهن وينهم ؟ عنهن ؟! ؟! مو عيفتنه شغله وعيشته الله ياخذكن 🙁✋🏻,,1.0
4388, الحلقة👎🏻,NOT_OFF,0.0
4830,#انا_مش_حتجوز_علشان الاطفال وازعاجهم ورخامتهم اللي ما بتخلصش 🐸🚶‍♀️ ,NOT_OFF,0.0
10765,هو ما مدافع عن احد ، هو فقط قال الي يشوفه وصدق زي ماهو مافي جهل بالدين وقلة حياء بالبنات في نفسه عند الرجال 👎 《 اكيد وبدون صيغة التعميم طبعن 》 والله يستر علينا من ذا التخلف الي جالس يصير,,1.0
16, انا كم مره اقولكم مو عيب اللي تسوونه؟ الكذب على الناس حرااااااااام 🙄👊🏻,NOT_OFF,0.0
2798,ومع هيك! رج يجي حدا ويحكي 🐸🐍 ,NOT_OFF,0.0
10061,يع يع شالوضع ؟ كل من هب ودب حبيتوه ؟ وخقيتو فيه عليه بليز اثقلو شوي يع .,,1.0
10321,😂😂 هههههه 😂😂 اسمعو ي خروفات بداية بداية 👎..  بايع  بايع الكليجا,,1.0
5677,حسبي الله فشلتوووونا حسستوني ماعمركم شفتو احد حلوو ☹️مسخره والله ماعاد في حيا الرجال استحى وانت وقحات حطو نفسكم مكان حرمتوو يا تافهات 😡 #بايع_الكليجا,OFF,1.0
6378,خياس تويتر مستمر مادري ليش يخربون جودة الصورة اذا حطيناها افاتار 👎🏻 ,NOT_OFF,0.0
6255, وتتكلمون عن الشرف ولعنة الاجيال وانتو عار😂👊🏻,OFF,1.0
7022,#تميم_قايدنا_وحمد_عدوناواللعنتين بهم الثنين😷,OFF,1.0
6332, مافهمت😂👊🏻,NOT_OFF,0.0
7565,  خود روقلي أعصابك معلييييمممم عند هالصبح وتابع وانبسط بس لا تنسى تسلملي على بوتين الكلب وذنبه القررريييددد🐒…,OFF,1.0
6851, يمممه 👊😒,NOT_OFF,0.0
10469,طالت طالت وشمخت 😡😡😡هذا اللي ناقص بعد حركات قذرة ضد شباب الوطن من داخل الوطن ذولي حلال وحرام فيهم التسفير دون حق مناقشه,,1.0
9884,الولد الكبير : دلوع الاب الامالبنت الصغيرة : صارت دلوعة الاب الابالوسط : كاين يهودي ، من قبايل بني قريضه🐸💔 😂هههههههههههههههههه ( يالله كل واحد يكتب لنفسه ايش ترتيبه بالعايلة ),,1.0
1641,ماجابت بطون حوا بالزمن زيه ولاشبهه خالقه بأحلى مخاليقه✨🦄,NOT_OFF,0.0
5763,التعب ألف 🤧😷,NOT_OFF,0.0
1066, الله يعين مجتمعنا اللي بدا يتحول الا التخلف والانحطاط للاسف بعض البنات بدأوا يتمردون وكأنها موب مسلمه 👎🏻,OFF,1.0
3428,#مهجوره_اربع_سنه_اريد_فك_قيوديروحي اخلعيه الله يخلع عقله امين ياربواذا رفض خليه يدفع مصروفك انتي وعيالك حق اربع سنين👌🏻وتشوفين ان ماطلق وهو ساكت كلب هو واشكاله👊🏻,OFF,1.0
2980, شفيك لحين تناهق يا حمار كل هذا لاجل 30 ريال صدق الحاله صعبه ما تنلام داليا عطيه 30 ريال خليه يسكت متعود ع الطراره 🤮,OFF,1.0
10133,“ قمة  الاحراج 🐸💔لما حد يعطيك ☺ شي وانت تستحي وتقوله لا ؟ شكراا🙂ويقل يقول لك ؟ لا مب لك بس امسكه شوي 😳لعنبو ابليسك يا اخي كلب كسرت خاطري. 💦😂😂😂😂😂😂,,1.0
11423,المحنه محنه 🖕🏿  بايع اللوز  ببيع الكليجا,,1.0
7045,دعوه للاستفراغ😷😷 ,NOT_OFF,0.0
1065,#بايع_الكليجا..الشباب قلبو ابن باز وابن عثيمين ...من انتم ! ماعرفتكم والله 😂ياشيبييين الغيرة بس ..لتسقط على رؤسكم صخرة بحجم بائع الكليجا..👊🏻,OFF,1.0
3730,في بلدي الذكرور نايمين والبنات والامهات بيصحوا يجيبوا العيش الامهات هنا بيربوا ولادهم علي استغلال ستاتهم علي الدلع والمرقعة علي انة يبقي ماشي جمب اختة هيا تشيل الطلبات وهو ماشي فارد دراعة في جيبة .. الله يرحمك يا رجولة..  😡,OFF,1.0
2606,  [ تسلية ]من هي شخصيتك المفضلة من BT21 ؟🐰❤️🐶🐨🦄🍪☁️قوموا بـالرد مع استخدام تاق التصويت ~-#iHeartAwards #BestBoyBand #BTS…,NOT_OFF,0.0
1474,#Rawanطلعت كل المسألة بمهندس الصوت 🙄 ضحكوا علينا 😂 طب يا ترى كيف احلام بتغني 😶 😂 👊 ,NOT_OFF,0.0
5814,النوم 💔🔪. ,NOT_OFF,0.0
10155,ولله العظيم شي يقهر ؟ باي حق تشهرون فيه ؟ والبنات المريضات يعني اوكي عجبك وحلو بس ليه تلحقينه وتصورينه ؟ مستوعبين انكم تفشلون الرجال ؟ يعني لو اي واحد حلو بالشارع بركض وراه امشي واصوره وش هالتخلف احترمو شوية خصوصية الناس يا 🖕🏼  من بايع الشاي  الكليجا,,1.0
