tweet,hs_label,label
وهو ايتنح الهم ومتنك علينا ليش 😂 يعني لان امه انكليزية يعتبر شايف نفسه احسن من البقية 😡👎,,1.0
 وينبتروحاليوممن مميزات الشاب العربي 😆😂 لما البنت تنزل نكته ع العام 😆 بيدخل يضحكلها ع الخاص 🐸🐸 خجول الله يحميه 😂😂,NOT_HS,0.0
url شتسوي اذا بعض البنات اغبيااااااء متى ينقرضون 😤,,1.0
الغبار اللي عندك صار اسمه اشهب ما ابي الومك يالاسبانية ما توفرون حتى وجه السواق لا قال كثر الله خيركم عينتك 😷,,1.0
😤🏃🏻🏃🏻 زيني قهوه بس خلينا نطلع نتقهوى براء,NOT_HS,0.0
بكره حالي لما اعصب بكره حالي لما اعصب بكره حالي لما اعصصب 😣,NOT_HS,0.0
ماشاء الله على التربية 🤢,NOT_HS,0.0
😂😂😂😂😂😂😂😂😂💔💔 ههههههههههههه ههههههههههههه ههههههههههههه 💩💩💩💩💩💩💩💩💩😂😂😂😂💔🐷🐖🐸🐒🐒🐒🐒🐒🐄🐄🐄🐄🐄 تنظيمالحمدين  قطر 💩😷,HS1,1.0
دوب النحله ماتقرص  lt  lt  تلسع 😒🔪🐝,NOT_HS,0.0
جامعه فيصل عباره عن فساد وزقاقه وكل شي 💩💔,HS5,1.0
و بعدها تلمون ب الذكور 😷,NOT_HS,0.0
📍 مستشفى الغرافه اليوم كله مستشفيات دفعلبلا 🤦🏻‍♀️☺️🖕🏻,NOT_HS,0.0
مشكلة البعير مايشوف لسانه عوج في رقبته بالله اصص بس قسم كمية قرف من المستشرفين ذول كلهم كرهوني بالشخص بالمجالس مايخلي وحده مايتغزل فيها واول ما مايشوف كل سعوديه تغزلت منها بواحد ماترك فيها كلمة وصخه مايقولها عنها [UNK] الدعوه صارت مناقره بين الناس المستشرفين والمستشرفات,,1.0
يا شيخة خلي عندك نشاط بقى كفاية برططة 😂😂😂👊👊👊,NOT_HS,0.0
تحسيه يوقفلك ورى الباب ويقولك بتنامي هااه 🖕🏿😏,NOT_HS,0.0
سلسلة خيبة KFC مستمرة 😂😂😡,NOT_HS,0.0
والله يا اختي ليتني بامزح او ابالغللاسف معظم المدارس والاماكن الحكومية ملياااااانة مدرسات كبار بامراض نفسية ومن ارذل الخلق وجع في اشكالهماحس امكن الاولاد كانو يعذبونا اكثر لان البنت عادي ضعيفة وتسكت في فصل الابتدايي ابويا مرة اضطر يتصل على المدرسة ٦ مرات عشان يشتكي عليها ويقولهم لا خير ايش كنت بتسوو في بنتي 😡,,1.0
أمه في البيت كانت تناديه سلوميعصب 😤😤 يقول لا تقولين سلوم اسمي سليمان 🕵🏻‍♂ والحين خطيبته تناديه  لومي يرد عليها  اعصريني ل ,NOT_HS,0.0
🤢 كلام تعسفي بس اللي اعرفو انو النوعية هاذي البنت تجي تربيه وتربي اهلو,NOT_HS,0.0
بايعالكليجاقاعد يستعرض قدام البنات شوفوني شوفوني هنا وجع اقول نعم واللي يصورون مراهقات ييعع وعع امحق منه جيل فيذمتي تخلف 😷🔪,,1.0
👊🏻🙈 انطرني 🙊,NOT_HS,0.0
على فكرة طعمه اكثر من عادي ومو مميز عندهم بس ال rainbowsherbet اللي طعمها حلو وغريب وال sundai تبعهم لا حرج 🤢,NOT_HS,0.0
هههههههه 😒👊 توته المدمنه خذي كليجا بالتوت 😛😜,NOT_HS,0.0
مو وقت الحراره 😣,NOT_HS,0.0
هو دايلر اتفه يوتيوبر و ديوان اتفه شركة شركه انتاج 😒 حسبي الله ونعم الو الوكيل 😞😡,,1.0
ممكن متفهمش سبب الحاجات اللى بتمر بيها  متستوعبش سبب الضغوطات اللى بتعدي بيها  لكن مع مرور الوقت ربنا هيكشفلك سبب كل حاجة عدت عليك 👌👎,NOT_HS,0.0
انت تدري وين بيتك ي مهبول ♡​​ بين أضلاع الغلا مالت عليك 🙈🙉👊😐,NOT_HS,0.0
أقول تركي كل بعر 😷 أنت وربعك والذباب الإلكتروني دليم الفلس جعلك تفدى قطر وثرى أرجيل أميرها تميم المجد وشعبهيا الضفعه حتى المتوت نعمة الله 😂 باذن الله تعالى 2022 كاس العالم فقطر 😉🇶🇦✌🇶🇦🤧🇸🇦🇦🇪😷,HS1,1.0
اهل سوريا واليمن وقطر وليبيا والسودان وفلسطين ممنوع يحجوا لانهم العرب اختلفوا معهم بالسياسه الله هم اكبر اليهود ماعملوها 😡😡😡,,1.0
هذا الرجل لن تجده في خراب اخر يتنقلون من مكان مكان اخر تصوير اخر الى اخرعملاء الامريكان والصهاينه هنا يتعالجون بالخارج في داخل الارض المحتلة لفلسطين وتحتحماية المجرم ناتنياهو قضينا على دواعش العراق ولم يبقي الا المشوار للقضاء على هولاء المرتزقة من اقذر جيوش الكاميرات url والتمثيل سمعنا هذا صوت الصراخ في العراق ايضا 👎😡,,1.0
سبحان الله ما يبرد حرتكم غير المخربيات حثالة العالم 😷,HS1,1.0
مداوم السبت بالقنفذة ١٢ ساعة من ٨ص  ٨ م ومع ذلك مريض  وبعدها اسافر لمكة لأجل العملية وفِي النهاية يقولون ماعندك موعد 😩😡,NOT_HS,0.0
😂 بروح ل ابو كاتم اخليه يشوف حل مايصير شزي 😡❌,NOT_HS,0.0
ياكذبتس الحين انتي صقعتيني براسك وانتي تعورتي 😂👊🏼🌚,NOT_HS,0.0
يفششللوووون يععع 🤢,NOT_HS,0.0
هو مدافع عن أحد هو قال الي يشوفه وصدق زي مافي جهل وقلة حياء بالبنات في نفسه عند الرجال 👎 وبدون صيغة التعميم طبعن  والله يستر علينا من التخلف الي جالس يصير,HS6,1.0
 افضحمعنفكاذكر معلمة الرياضيات طلبت مني قلم سبوره وقالت بحاسبك يوم قلت لها سعره عشره ريال ماصدقتني ولا رجعت لي فلوسي الله لا يسهيه هيه صدقت  سلامااات 😂😂👊 الله يسامحك يااستاذه بدريه دنيا واخره ❤,NOT_HS,0.0
مبببببباع 🐑🐑 بايعالكليجا,NOT_HS,0.0
أكرهه أيش عندي البنات قليلات الأدب 😏😠😈,HS6,1.0
طفشت وين ماروح بالجامعة يسولفون عن ابو كليجة خلااااااااص 😷,NOT_HS,0.0
عطلة و دوامنا دازين لنا رول المحكمة من أخيس ما رأيت 😭👊🏻,NOT_HS,0.0
بايعالكليجا محمد ودي اعرف البنات اللي كانوا مجتمعين عليه وين ابوهم امهم اخوانهم url وش قلت الحياء والرجولة ذي 🤐👊🏻,,1.0
قلتي تبين تطلعين معاي اليوم  شوفيلج احد ياخذج 👊👊👊,NOT_HS,0.0
شكله ناسي انه الضفدع ذا 😹🐸 كاس ولي العهد,,1.0
 انامشحتجوزعلشانايه الهشتاج العبيط ده 🐸 لا أنا هتجوز عشان يبقي ليا ونس وعزوة في الدنيا وزوج بينا مودة ورحمه 💚 زي ما ربنا قال 💚 وذريه نربيها تربيه كويسه تبقي شاهده علينا قدام ربنا 💚 الجواز عفه وسكن وحاجات حلوة كتير بس إحنا اللي بنسخر من كل حاجه دلوقت 🐸,NOT_HS,0.0
كلهم عفن سواء الدشر اللي مع حليمة والا الداشرات مصورات بايع الكليجة  بما فيهم انت وتغريداتك العفنة من أجل استعطاف قلوب البنات 😷,NOT_HS,0.0
وحرمتها تعيش حبها وشبابها فما استبعدش انها ما عجبهاش علاقه الياغهاز في حين اللحظه اللي قبلها شافت سنان يقبل نيل بس عادي خلي بالك منها وخلاصكل همها الفلوس وبس عبده فلوس وتتمسخر بس علي ياسمين كل امهات المسلسل عايزين إباده 🤢🤢,NOT_HS,0.0
قرد ماغوت 🐒 وهو نوع محمي يعرف باسم ماكاك البربر  يعيث فسادا في بساتين بجاية  يما ڨورايا  يختل ويدمر المحاصيل  إلى فزع ,NOT_HS,0.0
يحومون تسبدي اللي يسوي يعنني حقوقي مع البنات ويدافع بس عنهم وهمه الرتويت وهو بالحقيقه مو معذب بنات خواته وجاي يفرد عضلاته هنا لا ومسوي نفسو مثالي 😷😷,,1.0
توجهك ايتشي بحت اخوي محمد 👎,NOT_HS,0.0
 افضحمعنفكالمفروض تتعنفون لأنكم طلعتواجيل فاسدفارغ ما ينفع نفسه مابالك بأهلهإنعدام حياءوأخلاق نشوفهابالشارع والمولاتالجيل الي قبلكم ربوه المدرسين وربوه بالبيتأماأنتم أسخف وأجهل وأغبى منكم مافيهجيل فاسدفارغ بكل ماتعنيه الكلمةنحتاج تجنيداجباري يعدل سلوككم وقصصكم وسواراتكم 😠,HS5,1.0
user عندما تحرك الثوار المصريون ، اخيرا كان سير عملياتهم سييا و تحركوا الان امام مقاومة عراقية شبة معدومة ببطء شديد 😡 و قد علق الجنرال calvenwaller مسوول في مسرح العمليات بالقول ان قوة ما واجهته القوات المصرية تستطيع فاتاتان قد استخدم لفظا اكثر كلمة سوقية مريضتان التعامل معه بجدية 😡,,1.0
راكبتني الهموم يالتيم ماتشوف ليي حل من هالمصايب 😣💔,NOT_HS,0.0
😪 ياريتك ماغنيتي معاه لو لوحدك احسن 😣 خلاص ماعاد نبغاه هو واللي يغنيه من سنة اسكت ☹️ وموراضي يغير,NOT_HS,0.0
فمها يا رجاجيل 😳😳 و طبيبة بعد 😷😷,NOT_HS,0.0
 بايعالكليجا خلاص عاد تراكم ازعجتونا 😷😷,NOT_HS,0.0
انا كل مااشوف هالحركات اكره الزواج بزياده 😷 يااختي وش ذالقرف ولا والمشكله تصور بكل ثقه ع اساس انها مسويه انجاز 😷,NOT_HS,0.0
هه يرجال وش حاب تقول مجنون انت 😂😂 من السنه الي طافت واضحه وواضح منها ان الزبال الي تشجعه بس هو لاعب مينڤنت المينيا وكل عرض البصقه عليه وعلى من هم على شاكلته خصوصا من المنفوخين الزبالين ، 😷,,1.0
البنات اللي زمان خاقات مع بايع بيع الكليجة وضعكم الحين نفس وضع الشباب السعوديين اللي امس كانوا خاقين ع بنت عمه ترامب كلكم كذا وع كلكم 👎🏻 كلكم شوهتوا صورتنا قدام العالم 👐🏻 بايعالكليجا,,1.0
المرأه ناقصه عقل ودين مع بائع الكليجا  الرجل عقله كامل وكامل الدين وايفانكا  نعيب زماننا والعيب فينا هالفئتين شباب وبنات قبحكم الله 😷 بايعالكليجا,HS6,1.0
همك علي بطنك 🤛🏻🤛🏻😤😤😩😩😂😂😂,NOT_HS,0.0
url جعلك للغبار اللي يدفنك انت وراسك ومغربيتك [UNK],,1.0
بنات بايعالكليجايعني كذا يابنات اذا الرجل فيه اخلاق كم من سفيه وتافهه قام يتغزل في ويمدح روي الصبانانزلي تنزل لمستوى هولاء السفهاءوافسخي الادب والحياء للنساء وتغزلي بالرجال وتجاهلي قوله تعالى وقل للمومنات يغضضن من اثر ابصارهن منطق غبي جدا فعلا 👎🏻,,1.0
🇪🇬 يامصريين 🇪🇬 فيكم رجال من ذهب 💛 وفيكم رجال من لهب 👉 💪 الاوله جيش مصر ورييسها 🇪🇬 حر واصيل ❤ [UNK] والتانيه جند التضحيه هدف 🎯✌ وفيكم اشباه رجال منهم [UNK] واللي القذاره منبتهم 🐑 والنداله هدفهم هم 🐑,,1.0
عنصريين انتم ي نادي الطحالب 😂👊,,1.0
الساقطين والله كلاب ايفانكا والهنديه واروى الصبان والا الدين على مزاجكم 🖕🏾 بائعالكليجا,HS1,1.0
 قربعيدالحب ❤️ وبلشت حملة وكلو عم يلف هدايا الفلنطاين 😍🎁 وانا محتارة شو بلف 😂😁 جبنة او لبنة او زعتر وزيت 🐸😂😂😂,NOT_HS,0.0
يا جماعه ترا قاعده اصبح عليكم باللغه البنغاليه شدعوه ردو ماتستاهلون 😡😡😡,NOT_HS,0.0
انتم تسمعوني ولا تستهبلون  مادريت عن حق الكلجا ذا الي طفشتونا فيه ولا اهتميت لهكلامي عن وصفك بان لا نبوة للنساء لانهن غير وفيات تقدر تنتقد تصرف البنات دون التقول في الدين يا مقطعين الوفاءفهمتوا  تعتبت وانا اشرح 🔪,HS6,1.0
ﻡَ ﭐﺟﻤَـﻞْ ﭐﻥْ ﻳَﮕـﻮﻥْ ﺳَﻌﺪﮔﻚْ  ﻃَـﺂﻳـﺢْ ﻭﺩِﻳـﻤﺂﺁ ﺗﺒﺘﺴـﻢ 🐸,NOT_HS,0.0
يعني انتو تنصحونا كذا يلعن ام الاسلوب الخرا 💩😂 صلاهالجنازهالقادمهانت,NOT_HS,0.0
على اساس انك عندك ب 10 لاعبين دوري تبي نقطي لك 😂😂 طيب انت تاريخك كله اقارنه في ولد ياسر و القحطاني 😂😂 يلا عالمستنقع بس يلااا 😂🐸🔥 كبار السعوديه الهلال والاتحاد 💙🔥💛 للمعلوميه ياطحلب كبير جده ومن بعد الاتحاد هو النصر الشباب وبس 👌🔥,,1.0
حتى الإبتسامة اللي أبي أخذ أجرها  صاروا يفهمونها غلط 😡,NOT_HS,0.0
 الارصاد لايوجد اي تفاصيل في نشراتهم اليومية سوى  هطول أمطار رعديّة مصحوبة برياح نشطة مُثيرة للأتربة والغبار تحدُّ من مدى الرؤية الأفقية 😡😡😡😡 واخر شي برد يعدم الناس ويخسرهم  رجعونا لايام الطيبين  حسنكراني وعبداللطيف العيوني الله يذكرهم بالخير,NOT_HS,0.0
حمزه الحبشي الخسيس حفيد جيش ابرهه اتمنى الحذر منه حاول يهكر حسابي 👊👊👊👊,,1.0
هذا لا قالك عذر اقبح من ذنب  فكر غير مستبعد من عقلية تمجد صدام 👎🏻,HS1,1.0
منجد انا اتمنى يسويها صراحه قلة ادب وتخلف تخيلي اليوم شفت مطلعين صوره احواله  ناقص يجيبون لنا مقاس سرواله بس عمى 🤢🙃🙃🙃,NOT_HS,0.0
الهلال ابلع ابلع يالسباك 😷,,1.0
مستعد اطلع من قرعة اليورباليغ وانا ضد فرقة ارسنال التافهه بس مانبي نفوز المباراتين الجاية لاتسيو انتر 😷,,1.0
ما اعتقد اتوقعك عامري الله يعز العوامر كلها عنك اتوقعك بنجالي اصلي ولا انت باكستاني مجنس من نفس خلايا وذباب دحلان 😷,,1.0
من كم سنة وانا ميال ميال 😂😂👊,NOT_HS,0.0
ياليتك ماكل تبن الله بس يقطع ذا هالوجه الوجه معاك يالليبرالي انتم كذا كل شي ترمونه على هل الدين اهلهم والله ماعرفو يربونهم الي سووه هنا قلة حياء ماهم كفو متربين 😷,,1.0
اردوغان اليوم في الجزائر موتوا بغيضكم 😪😪😤😤😤😤,NOT_HS,0.0
بس يا نايحة خلاص انكشفت حقيقة دناءتك حتى الناس العاقلة منها لم تعد تنفع ترد عليك ولا يعزز لك فيها الا بعض كلاب الحمارين نشتاق حتى لرويتك لنكرمك 👞👞,,1.0
ياغبي ماعرف اللعب عشان لايجي اللعيب يتكلمم على لعبي 👎🏽💔,NOT_HS,0.0
Kaaaaak الحاله كسيفه 🤣👊,NOT_HS,0.0
اوف اوف ايش فيها الأحداث تقلبت والسلطان وتورغوت 🤢,NOT_HS,0.0
والله نفسي استفرغ ليهو 🤢,NOT_HS,0.0
عاهات اسيا بزمنكم كانوا يصولون ويجولون شرق اسيا ختاما يتغنون بعالمية ضد سوباولو البرازيلي حتى وانت بعز تطور مستواك حققت الدوري بعد ٣٢ الف سنه وصرت عاجفه بالضحك والطقطقه عليكم كلكم 😂👊🏻,,1.0
بوعلي للأسفالعدل يمين وهو يسارمجموعتي الاولى طبقين رئيسين وسلطه والمجموعه الثانيه يخفف عليهم  ربي لايجعل له سلطه عليّ 😷 حياتك23,NOT_HS,0.0
بايعالكليجاوش فيهم الشباب مايت انقهرو عليهم ومستشرفين الا على البنات والبنات خلاص صورن وحقن عنده ماهن متربيات نسيتو بنت ترامب وايران والهنديه مصخرتو رجال وبنات السعوديه وين الاشراف 🖕🏼 وبعدين بالله ذا بايع بايع الكليجا يجنن 😀😩♥ مشالله,,1.0
منظمة الصحة العالمية تصنف العزاب ضمن ذوي الإعاقة و الاحتياجات الخاصة °😅😅😅😅😆😆 شيت 🙉🙉👎👎,NOT_HS,0.0
وش ذا القرف 😷 تويتر صاييير كررريه وهاشتاقات متخلفه ,NOT_HS,0.0
[UNK] الحزبي يقول لك انت كيف كنتم تدعمون الدول العربيه التي يحكمها العسكر البسطارالعسكري هذا فقط عندكم وليس العسكري نفسه هو اشرف من,,1.0
هنيئاً لشعب  ليبيا في هذا اليوم المبارك 😷🚁 17فبراير  نكبةوطن  ليبيا  طرابلس  بنغازي  سبها  الجغبوب  غ ,NOT_HS,0.0
انتم اللي ولاد بت ستين كلب [UNK] انه رد الزعيم الخالد جمالعبدالناصر علي الاذاعة البريطانية انذاك 😂👏 الله يرحمك لانك كنت في جريدة حرة محترمة و ليس,,1.0
شوفي المصخرة 😷,NOT_HS,0.0
مشكلتنا الرجال  إذا شفنا أو قرأنا تغريده من البنات  فيها شيء من الحب والغرام  لصقناها فينا وكانها تعنينا حنا  ماهو داري انه شاكوش مصدي لو تشوفه  ام ربحان شردن 🙊🙉 وهي ماهي داريه عنك  الا اذلف انت والبرستيج حقك 🏃 أعتذر عن الشفافية الزايد  لكن هذا حنّا,NOT_HS,0.0
ويلوموني بكرهه اهلي الامارات [UNK],,1.0
وينها وينها اللي ينشد لها وم تسمع جعلها الصمخ 😐👊🏽 سناباتعزبنسعيد,NOT_HS,0.0
ليليان lilane daoud ودنك يا حفيدة بابا صهيون ااه ايوه 👂 ودنك ودن الخنزير كمان [UNK] صوتك ديقربي كده ايوه ايوه 👂 قربي كمان ك,,1.0
 صلاهالجنازهالقادمهانت حسبي الله ونعم الوكيل 🙂 الواحد يدخل يروّق يطلع يتحمّد ربي ع العقل منكم 👊🏻😃,NOT_HS,0.0
من يومهم الهنديات عندهم متخلفات اخلاقيا وسليطات قرف يقرفهم قرف 😷,,1.0
مافيه اي احترام للمحاضرة  البنات اللي جالسين جنبي فصفص وحركات  وين يابو الشباب 😅 المشكله حمت كبدي من الريحة 🤢 مدري كيف بفاتحهم بالموضوع 😂😭,HS6,1.0
ترفسك 🔪,NOT_HS,0.0
يييعع ما ينخق على نوعيته والله 😷,NOT_HS,0.0
التعميم اسلوب الجاهل 👎🏻,NOT_HS,0.0
صباحكم فينغير 😒😡,NOT_HS,0.0
في انحدار 👎🏻🤲🏻,NOT_HS,0.0
تخسين انتي وخيارك 😷😷😷,NOT_HS,0.0
« حياوك فاحفظه » عليك » فانمايدل يدل على فضل الكريم حياوهاذا قل ماء الوجه في قل [UNK] خير في وجه اذا قل وجهه ماوه اذا انتقداحدهم تصرفات الفتيات غير المنق المحتشمة مع بايعالكليجا قالوا مستشرف 🤔 يريدوننا مجتمعا بلا حياء ولا اي اخلاق تحت مسمى مجتمع يا تسكت 🙊 او لازم نهاجمك 😡,,1.0
بدأت اقلق و الله 😂😂😂💔 اسكتييييي 😂🔪🔪,NOT_HS,0.0
بقلك حاطط فيروز يعني اكيد مش باص السلط 😂😂 انا عالداخلية 🐸,NOT_HS,0.0
ماضيعت البنات الى يوم تمشي تاخذ وحده معها ترقص بالشارع وععع على التفكير المنحدر هذا و المذله اللي عايشينها 😷,,1.0
لما افتح كيس الشبس 😍 يزداد فخري ببلدي 😌✋🏼 لانها أول بلد 😊👌 في العالم تعبي الهوا في أكياس 😂😂🙊💔😂😂😂💔🐸,NOT_HS,0.0
الله يقويكم وقافلتكم تسير والكلاب تنبح من حولها 🐕🐕🐕,NOT_HS,0.0
المحاضرات كل يوم لمدة ال 5 ايام بتبقي الساعة 8 ونص 😠😠😡 اشوفك فيكوا يوم ياللي حاطيين الجدول   ,NOT_HS,0.0
مبطولش اخر حبلين غسيل و افضل اتشعبط زي المتخلفين ف البلكونه 🐸🐸,NOT_HS,0.0
اتركيني استانس شوي ع الاقل 😠,NOT_HS,0.0
الان تسحبيني في الكلام حتى اطعا في عرضك أو اسب مذهبك  وحشى أن أقع في هذه الفخ لان انتي فتنه  الله يشافي قلبك المريض من الغل والحقد  يا صخله يا بعيره السب لغة الفاشل مثلك لا يستطيع الرد فقط السب  أم الصنان 🤢😷,NOT_HS,0.0
الا عندي سنابي 🙉,NOT_HS,0.0
 بايعالكليجا ترند لرجل عادي جدا خير يابنات وش تحسون بوة الى صاير فيكم لو تشوفون قرد بتخقون عليه ارتقو شوي واثقلو ترى جاى يترزق الله 😳👎 عيب وشق جيب يالي تسرخوووون 🙄🌚,HS6,1.0
حتى لو ماهبل فيني الله يلعنه هذا شيطان 👊🏼😂,NOT_HS,0.0
اكره لمن اتكلم مع غباءء 😡,NOT_HS,0.0
و أنا أكتر دايما لما بشوف روبرتاج هو و ياها بقول عادي بضل حبيبته بس عنجد هلأ اتنرفزت من قصتها هي و وزنها و خشتها لبتقطع رزق قرفتني ع صبح 😤😷 ماقدرت حتى إفرح لطلة باريش لزقة لزقة ما بدها تحل عنو و عنا,NOT_HS,0.0
اخترعو كل شي الا جهاز يطرد الدكتوره لما تخلص المحاضره 🙃👊🏼,NOT_HS,0.0
غلط غلطط غلط تجي كم بنت مثلك وتتصرف تصرف ب قلة ادب وسخافه هنا وانتي مالك دخل 😕 ويجيك واحد مطسس ويتم يشمل من جميع البنات انهم يطلعون متخلفات شوهتن صورتنا يا السلق 🙂 ولا تبون اسقاط ولايه وحريه ي جعلكم للحمممى 👊🏻👊🏻👊🏻 بايعالكليجا,,1.0
انت عساك تبي النادي القذر القذر الطحلبي ياخذ الدوري اجل 🐸,,1.0
في هذة الايام من شهور العام القادم ١٩٩١ لكل مواطن او مقيم علي هذى الارض نقدم لة كامل الاحترام والتقدير علي صمودة تحت لوا نيل سلطة الاحتلال العراقي القذر 😢😢 والذي حرق الحرث والارض والنسل والاطفال بلا رحمة 😡😡 وقد استطاع تحمل كل الاذى من قسوة الاعتقال والاسر والاستشهاد 💔💔 لهم التحية والاعتزاز والاكبار 🌷,,1.0
يامحمد انزل البلد بسرعة فيه إرهابيين لقيناهم ولازم تشيلهم من فوق الارض شيل 👊😂😂 بلحة لرئيس الأركان عن الإرهابيين  يتشالوا من فوق وش الأرض بكل قوة وعنف يا محمد | المصري اليوم عبر,NOT_HS,0.0
قلة حياة والله الولد مستحي يصور وهن باقي عليه شوي ويصور ويغتصبه 😷😒👋,,1.0
ودي أتدرب مع شخص فاهمالكيمياء عدل  شخص طيّبمتواضع يخليك تحب شغلك  موب شخص يهددك ويكرهكبالشغل  يحسسك أنك مستهتربشغلك  اذا غيري مخطي ومالهنفس يشتغل وش دخلني أنا  إذا أسلوبك يرفع الضغط كيفأبلعك بالله  كيف أشتغل منقلب وأنا مو مرتاحة لك 😷,NOT_HS,0.0
أحب ذَا الجمال 🔪,NOT_HS,0.0
نهههه 🤢,NOT_HS,0.0
 بايعالكليجامن كثر ما تطلع لي مقاطع ذا الانسان ف تويتر و اكسبلور الاستقرام و الواتس والسناب لين صارت تجيني ف أحلامي حسبي الله عليكمخلو الرجال ف حاله استحوا يا بنات 🐮👋👋,HS6,1.0
وكأن جميعُ الأشياء تتسابق على مَن ستُحطم قلبي أولًا 😣💔,NOT_HS,0.0
يقطعوها امانه جيفووووو بنا من شمها 😷😂,NOT_HS,0.0
المعيار والمقياس للحكم  قال الله وقال رسول الله 👌👌👌 مش قال مجلس الأمن والأمم المتحده 👎👎👎,NOT_HS,0.0
السعودي بايعالكليجا هي كلمة حق الجميل جميل لكن يكفي انه مسلم وعربي سعودي ومن اهل القصيم اكيد افضل من المشاهير اللي خقوا على بنت ترامب وغيرها من المشاهير الكفار 🔪,,1.0
هؤلاء من الشعب السوري ولا الاسرائيلي 🤔🤔🤔🤔 المايك لاخوان ابليس بالكويت والدول العربيه القتلي من اي شعب المايك لكم 😠😡😠😡😠😡😠😡😠,NOT_HS,0.0
خرا ع خرا 😡😬,NOT_HS,0.0
استفراغ 😷,NOT_HS,0.0
+ 11111111أقسم بالله كنت دخله اكتب حاجه شبه كدة 😠😠😠😬😬😬,NOT_HS,0.0
ما لومك قاهركم هذا الاسم ي اذناب الفرس  وهذا ان دل يرجع لكلامي كرهكم لاهل السنه والصحابه حبا بايران 👊,HS1,1.0
بايعالكليجاسخافة لا تثيرها خفيفه ذات عقل نعجه 🐑 خرفان وتتبعها قطيع من القطيع النعاج والماعز [UNK] عجب ي زمان العجايب 🤓,,1.0
معلم بعد  طب خذ ذي 💦 ومعاها ذي 💩,NOT_HS,0.0
بايعالكليجااجمل مافي وجه المراه الحياء فهي اذا ذهب الحياء ذهب جمالها 🤔🤔🤔🤔🤔🤔 حاولت اصير بنت اخلاق بس المنظر تبن 😡 الزبده لابوكم ولا لابو من هو جمعكم يا اولاد الزباله,,1.0
المشكلة مو اني منزينه بس 😩👎🏿😷 ذوقكم يابنات و صاير الحظ في حضيض بايعالكليجا,,1.0
بالله احد يشوف لنا اي طريق 🐸🐸 النصر للنهايي مع العلم ان اخر 20 مباراه للنصر فازوا فيها كانت بضربات الحظ,,1.0
يااارب اعني علئ هالوالد 😕😠😠😠😠😠😠,NOT_HS,0.0
لجهنم 🍎🍎🍎🍎🍎🍎🐕💦,NOT_HS,0.0
يفوز قولدن سنت بجائزة اسوء اعلانات سناب شات 😷,NOT_HS,0.0
وع 😷😂😂😂😂,NOT_HS,0.0
ادخلو لا اعصب 😡😡😡😡,NOT_HS,0.0
الله ياخذهم كرهونه بلمسلسل واهتمامهم بلشخصيات عاديه 😤,NOT_HS,0.0
ريال وجميل بعد مب نفسك لووووعه 🤢😷,NOT_HS,0.0
ولد بايعالكليجا له اقول انثبرن بس 😂 تراه كان متزوج واستحن على وجيهكن ماعاد في حياء 😤,,1.0
